Sector,Indicator,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Financial activities,LQ,1.14,1.13,1.12,1.19,1.19,1.2,1.19,1.19,1.27,1.23,1.19,1.25,1.26,1.3,1.3,1.3,1.31,1.31,1.26,1.26,
Financial activities,Employment,"10,698","13,038","14,106","13,853","10,616","10,610","8,773","8,910","9,230","9,524","8,827","7,820","6,984","7,308","7,292","7,424","7,205","7,353","6,837","6,732",
Financial activities, Annual Wage ,37081,37690,40275,42121,44504,50518,49947,50508,53527,53781,53715,51599,56853,60019,62389,59627,61310,62860,65944,62121,
Financial activities,Establishments,"2,729","2,647","2,665","2,775","2,919","3,140","3,427","3,717","3,909","3,994","3,943","3,708","3,507","3,524","3,510","3,554","3,597","3,571","3,777","3,874",
Financial activities,Employees per Firm,3.92,4.93,5.29,4.99,3.64,3.38,2.56,2.4,2.36,2.38,2.24,2.11,1.99,2.07,2.08,2.09,2,2.06,1.81,1.74,
Financial activities,WQ,1.03,1,0.97,0.98,1.1,1.21,1.11,1.07,1.13,1.04,1,1.05,1.1,1.14,1.14,1.1,1.08,1.08,1.07,1.12,
Financial activities,Payroll,396692538,491402220,568119150,583502213,472454464,535995980,438185031,450026280,494054210,512210244,474142305,403504180,397061352,438618852,454940588,442670848,441738550,462209580,450859128,418198572,
Professional and business services,LQ,1.57,1.61,1.76,1.61,1.61,1.73,1.79,1.64,1.66,1.53,1.41,1.37,1.27,1.12,1.12,1.16,1.15,1.16,1.19,1.2,
Professional and business services,Employment,"78,088","84,717","98,608","105,638","85,215","91,591","97,966","92,066","96,240","88,244","77,659","68,630","63,273","56,429","58,265","62,541","63,529","66,732","70,287","72,208",
Professional and business services, Annual Wage ,29909,31623,31500,32298,32516,31388,32545,34503,35285,37886,41081,43057,45305,49621,54881,52735,56355,57173,57237,53116,
Professional and business services,Establishments,"5,253","5,218","5,352","5,367","5,545","5,900","6,154","6,588","6,727","6,905","7,058","6,981","7,067","6,805","6,966","7,123","7,114","7,226","7,393","7,742",
Professional and business services,Employees per Firm,14.87,16.24,18.42,19.68,15.37,15.52,15.92,13.97,14.31,12.78,11,9.83,8.95,8.29,8.36,8.78,8.93,9.23,9.51,9.33,
Professional and business services,WQ,1.41,1.43,1.49,1.58,1.36,1.37,1.41,1.3,1.29,1.23,1.17,1.15,1.09,1.02,1.07,1.09,1.11,1.1,1.11,1.07,
Professional and business services,Payroll,2335533992,2679005691,3106152000,3411896124,2770850940,2874858308,3188303470,3176553198,3395828400,3343212184,3190309379,2955001910,2866583265,2800063409,3197641465,3298099635,3580176795,3815268636,4023017019,3835400128,
Education and health services,LQ,1.29,1.21,1.14,1.18,1.18,1.14,1.14,1.16,1.13,1.16,1.22,1.22,1.23,1.26,1.26,1.2,1.2,1.18,1.16,1.16,
Education and health services,Employment,"58,751","55,903","55,280","58,315","60,338","59,997","62,000","63,550","63,265","65,422","68,008","68,193","68,519","70,042","70,952","70,810","71,511","72,723","74,068","75,321",
Education and health services, Annual Wage ,29587,30278,31365,32082,33075,34975,36314,38065,38961,40164,41508,42694,43061,43803,44529,44542,45371,46752,47554,48308,
Education and health services,Establishments,"2,865","2,735","2,718","2,723","2,851","2,920","3,015","3,124","3,185","3,298","3,439","3,461","3,483","3,532","3,565","3,664","3,693","3,722","3,806","3,941",
Education and health services,Employees per Firm,20.51,20.44,20.34,21.42,21.16,20.55,20.56,20.34,19.86,19.84,19.78,19.7,19.67,19.83,19.9,19.33,19.36,19.54,19.46,19.11,
Education and health services,WQ,1.46,1.37,1.3,1.27,1.32,1.3,1.3,1.34,1.29,1.35,1.39,1.38,1.39,1.42,1.39,1.36,1.36,1.34,1.31,1.32,
Education and health services,Payroll,1738265837,1692631034,1733857200,1870861830,1995679350,2098395075,2251468000,2419030750,2464867665,2627609208,2822876064,2911431942,2950496659,3068049726,3159421608,3154019020,3244525581,3399945696,3522229672,3638606868,
Leisure and hospitality,LQ,1.06,1.01,0.95,1.05,1.05,1.04,1.02,1.04,1,1.06,1.07,1.11,1.14,1.17,1.2,1.19,1.19,1.2,1.2,1.19,
Leisure and hospitality,Employment,"39,267","38,522","38,008","38,847","41,988","42,173","42,762","44,207","43,238","45,535","44,531","43,874","44,074","45,325","48,015","49,322","50,499","52,936","55,061","57,770",
Leisure and hospitality, Annual Wage ,13033,13401,13992,13984,14845,15292,17384,18028,18430,18775,19955,20101,20517,19863,20910,20854,21736,23238,23925,24104,
Leisure and hospitality,Establishments,"2,163","2,033","2,050","2,077","2,233","2,334","2,417","2,527","2,565","2,639","2,735","2,716","2,771","2,822","2,994","3,053","3,016","2,960","3,020","3,048",
Leisure and hospitality,Employees per Firm,18.15,18.95,18.54,18.7,18.8,18.07,17.69,17.49,16.86,17.25,16.28,16.15,15.91,16.06,16.04,16.16,16.74,17.88,18.23,18.95,
Leisure and hospitality,WQ,1.12,1.06,1,0.98,1.13,1.12,1.22,1.26,1.19,1.26,1.3,1.35,1.37,1.34,1.4,1.4,1.41,1.47,1.46,1.49,
Leisure and hospitality,Payroll,511766811,516233322,531807936,543236448,623311860,644909516,743374608,796963796,796876340,854919625,888616105,881911274,904266258,900290475,1003993650,1028560988,1097646264,1230126768,1317334425,1392488080,
Other services,LQ,0.99,0.94,0.94,1.01,1.01,0.95,0.93,0.94,0.92,0.93,0.96,0.86,0.83,0.87,0.87,0.98,0.99,0.98,0.97,0.98,
Other services,Employment,"13,042","12,731","13,091","13,435","14,222","13,569","13,411","13,510","13,315","13,282","13,450","11,417","10,791","11,146","11,482","11,900","12,220","12,312","12,555","12,919",
Other services, Annual Wage ,19172,19508,20389,20949,21696,22517,22830,23783,24972,25627,26665,28710,28925,29623,31238,31035,32515,33381,34107,34165,
Other services,Establishments,"2,569","2,458","2,440","2,346","2,403","2,425","2,500","2,555","2,515","2,566","2,607","2,562","2,566","2,617","2,702","2,726","2,785","2,725","2,718","2,753",
Other services,Employees per Firm,5.08,5.18,5.37,5.73,5.92,5.6,5.36,5.29,5.29,5.18,5.16,4.46,4.21,4.26,4.25,4.37,4.39,4.52,4.62,4.69,
Other services,WQ,1.04,0.98,0.97,0.95,1.05,1.01,0.97,0.98,0.98,0.99,1.03,0.98,0.93,0.98,1.01,1.07,1.09,1.07,1.05,1.05,
Other services,Payroll,250041224,248356348,266912399,281449815,308560512,305533173,306173130,321308330,332502180,340377814,358644250,327782070,312129675,330177958,358674716,369316500,397333300,410986872,428213385,441377635,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
